;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90;3;6;12
1;2.274;1.357;0.816;0.520;0.322;0.175;0.060;0;0;0;0;0;0;0;0
3;14.492;10.918;8.682;7.395;6.495;5.805;5.249;4.785;4.389;3.748;2.044;1.317;0;0;0
6;33.068;24.921;18.386;11.261;7.672;6.073;5.137;4.503;4.038;3.388;1.991;1.443;0.374;0;0
9;51.559;14.498;7.764;5.968;4.999;4.363;3.904;3.552;3.270;2.844;1.802;1.349;0.434;0;0
12;17.530;9.021;6.367;5.175;4.448;3.944;3.567;3.271;3.030;2.658;1.722;1.303;0.449;0.018;0
15;12.706;8.044;5.903;4.867;4.218;3.759;3.413;3.139;2.915;2.566;1.679;1.277;0.454;0.050;0
18;11.556;7.619;5.671;4.704;4.091;3.656;3.325;3.062;2.847;2.512;1.652;1.261;0.457;0.073;0
21;11.012;7.381;5.531;4.603;4.011;3.590;3.268;3.013;2.803;2.477;1.634;1.250;0.459;0.090;0
24;10.693;7.228;5.438;4.534;3.956;3.543;3.229;2.978;2.772;2.451;1.621;1.242;0.460;0.101;0
27;10.482;7.121;5.371;4.485;3.916;3.510;3.200;2.952;2.749;2.432;1.611;1.235;0.461;0.109;0
30;10.332;7.043;5.321;4.447;3.885;3.484;3.177;2.932;2.731;2.417;1.604;1.230;0.461;0.115;0
