;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90
1;0;0;0;0;0;0;0;0;0;0;0;0
3;2.375;0.931;0;0;0;0;0;0;0;0;0;0
6;2.288;1.353;0.634;0.199;0;0;0;0;0;0;0;0
9;2.162;1.361;0.739;0.359;0.103;0.013;0;0;0;0;0;0
12;2.095;1.352;0.773;0.420;0.170;0.034;0.004;0;0;0;0;0
15;2.053;1.343;0.788;0.450;0.209;0.055;0.008;0.001;0;0;0;0
18;2.026;1.336;0.796;0.468;0.233;0.072;0.013;0.002;0;0;0;0
21;2.006;1.330;0.801;0.480;0.250;0.086;0.017;0.003;0;0;0;0
24;1.991;1.326;0.805;0.488;0.262;0.097;0.02;0.003;0;0;0;0
27;1.980;1.322;0.807;0.494;0.271;0.105;0.023;0.004;0;0;0;0
30;1.970;1.319;0.809;0.499;0.278;0.112;0.026;0.005;0;0;0;0
