;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90
1;0;0;0;0;0;0;0;0;0;0;0;0
3;40.811;26.491;16.492;11.385;8.180;5.866;3.987;2.265;0.924;0;0;0
6;39.023;22.579;15.299;11.897;9.783;8.278;7.115;6.162;5.345;3.940;0;0
9;24.691;17.666;13.107;10.633;8.998;7.801;6.866;6.099;5.446;4.357;0;0
12;21.399;16.074;12.247;10.075;8.611;7.529;6.679;5.982;5.390;4.412;0.410;0
15;20.039;15.319;11.803;9.772;8.393;7.368;6.562;5.900;5.339;4.417;0.883;0
18;19.302;14.882;11.535;9.584;8.254;7.263;6.483;5.843;5.300;4.411;1.134;0
21;18.842;14.598;11.355;9.456;8.158;7.189;6.426;5.801;5.271;4.403;1.285;0
24;18.527;14.399;11.227;9.364;8.087;7.135;6.384;5.769;5.248;4.395;1.386;0
27;18.299;14.251;11.131;9.293;8.033;7.093;6.352;5.744;5.229;4.389;1.458;0
30;18.125;14.138;11.056;9.238;7.992;7.060;6.326;5.724;5.215;4.383;1.510;0
