;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90
1;0;0;0;0;0;0;0;0;0;0;0;0
3;46.391;33.405;23.269;17.148;12.796;9.395;6.556;4.064;1.778;0;0;0
6;117.674;89.796;68.189;55.360;46.457;39.702;34.262;29.678;25.675;18.718;0;0
9;188.956;146.186;113.109;93.573;80.117;70.010;61.968;55.291;49.555;39.883;0;0
12;260.235;202.573;158.030;131.785;113.777;100.317;89.674;80.903;73.436;61.047;6.651;0
15;331.521;258.967;202.950;169.998;147.437;130.625;117.380;106.515;97.317;82.211;20.799;0
18;402.803;315.571;247.870;208.210;181.097;160.933;145.086;132.128;121.198;103.374;34.945;0
21;474.086;371.748;292.789;246.422;214.758;191.240;172.792;157.740;145.079;124.538;49.091;0
24;545.368;428.130;337.710;284.635;248.417;221.547;200.498;183.352;168.959;145.702;63.238;0
27;616.651;484.528;382.630;322.847;282.078;251.855;228.204;208.964;192.840;166.866;77.384;0
30;687.931;540.917;427.549;361.060;315.737;282.163;255.910;234.576;216.721;188.030;91.531;0
