;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90;3;6;12
1;1.067;0.089;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3.245;1.556;0.927;0.654;0.494;0.385;0.305;0.244;0.194;0.119;0;0;0;0;0
6;1.915;1.139;0.765;0.584;0.472;0.394;0.335;0.289;0.252;0.194;0.047;0;0;0;0
9;1.667;1.028;0.708;0.550;0.452;0.382;0.329;0.288;0.254;0.202;0.068;0.007;0;0;0
12;1.565;0.978;0.681;0.533;0.440;0.374;0.325;0.285;0.253;0.203;0.076;0.018;0;0;0
15;1.510;0.951;0.665;0.523;0.433;0.370;0.322;0.283;0.252;0.204;0.080;0.023;0;0;0
18;1.475;0.933;0.655;0.516;0.429;0.366;0.319;0.282;0.251;0.204;0.083;0.027;0;0;0
21;1.452;0.920;0.648;0.517;0.425;0.364;0.318;0.281;0.251;0.204;0.084;0.029;0;0;0
24;1.434;0.911;0.643;0.508;0.423;0.362;0.316;0.280;0.250;0.204;0.086;0.031;0;0;0
27;1.421;0.904;0.638;0.505;0.421;0.361;0.315;0.279;0.250;0.204;0.087;0.033;0;0;0
30;1.411;0.899;0.635;0.503;0.419;0.360;0.315;0.279;0.249;0.204;0.087;0.033;0;0;0
