;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90;3;6;12
1;0.671;0.072;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2.927;1.752;1.185;0.900;0.716;0.581;0.477;0.392;0.321;0.205;0;0;0;0;0
6;2.267;1.549;1.143;0.926;0.781;0.674;0.590;0.521;0.463;0.370;0.102;0;0;0;0
9;2.095;1.470;1.107;0.909;0.777;0.678;0.601;0.538;0.484;0.398;0.151;0.015;0;0;0
12;2.018;1.431;1.086;0.898;0.771;0.677;0.603;0.542;0.491;0.408;0.171;0.042;0;0;0
15;1.975;1.408;1.074;0.891;0.768;0.676;0.603;0.544;0.494;0.413;0.182;0.057;0;0;0
18;1.947;1.393;1.066;0.886;0.765;0.674;0.603;0.545;0.496;0.416;0.189;0.066;0;0;0
21;1.928;1.382;1.059;0.882;0.762;0.673;0.603;0.545;0.497;0.418;0.193;0.072;0;0;0
24;1.913;1.374;1.055;0.879;0.761;0.672;0.603;0.545;0.497;0.419;0.197;0.077;0;0;0
27;1.902;1.368;1.051;0.877;0.759;0.672;0.602;0.550;0.498;0.420;0.199;0.080;0;0;0
30;1.894;1.363;1.048;0.875;0.758;0.671;0.602;0.546;0.498;0.421;0.201;0.082;0;0;0
