;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90
1;0;0;0;0;0;0;0;0;0;0;0;0
3;0.658;0.265;0;0;0;0;0;0;0;0;0;0
6;0.793;0.472;0.222;0.070;0;0;0;0;0;0;0;0
9;0.803;0.506;0.276;0.134;0.039;0.005;0;0;0;0;0;0
12;0.803;0.519;0.297;0.161;0.065;0.013;0.002;0;0;0;0;0
15;0.802;0.525;0.308;0.176;0.082;0.022;0.003;0.001;0;0;0;0
18;0.801;0.528;0.315;0.185;0.092;0.029;0.005;0.001;0;0;0;0
21;0.800;0.531;0.320;0.192;0.098;0.034;0.007;0.001;0;0;0;0
24;0.799;0.532;0.323;0.196;0.105;0.039;0.008;0.002;0;0;0;0
27;0.798;0.533;0.326;0.199;0.109;0.043;0.01;0.002;0;0;0;0
30;0.797;0.534;0.328;0.202;0.112;0.045;0.011;0.002;0;0;0;0
