;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90
1;0;0;0;0;0;0;0;0;0;0;0;0
3;6.713;3.348;0;0;0;0;0;0;0;0;0;0
6;10.110;7.187;4.000;1.418;0;0;0;0;0;0;0;0
9;11.034;8.244;5.270;2.871;0.913;0.130;0;0;0;0;0;0
12;11.458;8.733;5.855;3.558;1.572;0.348;0.052;0;0;0;0;0
15;11.702;9.014;6.191;3.951;1.998;0.574;0.01;0.017;0;0;0;0
18;11.860;9.196;6.409;4.205;2.284;0.767;0.151;0.027;0;0;0;0
21;11.970;9.324;6.561;4.383;2.486;0.925;0.200;0.037;0;0;0;0
24;12.052;9.419;6.674;4.515;2.636;1.052;0.245;0.047;0;0;0;0
27;12.115;9.492;6.761;4.616;2.751;1.155;0.285;0.056;0;0;0;0
30;12.165;9.550;6.830;4.696;2.843;1.240;0.322;0.065;0;0;0;0
