;0.01;0.03;0.06;0.09;0.12;0.15;0.18;0.21;0.24;0.30;0.60;0.90;3;6;12
1;0.721;0.167;0;0;0;0;0;0;0;0;0;0;0;0;0
3;12.468;11.062;9.344;8.060;7.011;6.108;5.306;4.577;3.903;2.677;0;0;0;0;0
6;16.819;14.233;12.246;10.923;9.898;9.046;8.307;7.649;7.051;5.989;1.999;0;0;0;0
9;17.673;15.008;13.015;11.707;10.702;9.871;9.155;8.520;7.946;6.931;3.186;0.365;0;0;0
12;18.036;15.354;13.367;12.069;11.075;10.256;9.551;8.928;8.365;7.372;3.738;1.034;0;0;0
15;18.236;15.550;13.568;12.277;11.290;10.478;9.780;9.163;8.607;7.627;4.057;1.419;0;0;0
18;18.363;15.676;13.698;12.412;11.430;10.622;9.929;9.317;8.765;7.794;4.264;1.669;0;0;0
21;18.451;15.764;13.790;12.507;11.528;10.724;10.034;9.425;8.876;7.911;4.410;1.844;0;0;0
24;18.516;15.829;13.857;12.577;11.601;10.799;10.111;9.505;8.958;7.998;4.518;1.973;0;0;0
27;18.565;15.879;13.909;12.631;11.657;10.857;10.171;9.566;9.022;8.065;4.601;2.073;0;0;0
30;18.604;15.918;13.950;12.674;11.702;10.903;10.219;9.615;9.072;8.118;4.667;2.152;0;0;0
